kode_prov,kode_kab,kode_kec,kode_desa,kode_sls,kode_subsls,id_rt,id_art,r420a,r420b,r421,r421_desk,r422,r423,r424,r425,r426,r421_kode
14,1,10,9,1,0,49,1,1.0,2.0,08,BOS PABRIK KAYU,20.0,0.0,10,2.0,6.0,8.0
14,1,10,9,1,0,57,2,1.0,1.0,12,JUALAN ONLINE,0.0,0.0,11,1.0,31.0,12.0
14,1,10,7,3,0,99,1,1.0,1.0,03,KEBUN SAWIT,0.0,2.0,11,2.0,10.0,3.0
14,1,10,9,2,0,92,3,1.0,1.0,14,MENJUAL GORENGAN,0.0,1.0,11,1.0,4.0,14.0
14,1,10,9,2,0,132,2,1.0,1.0,14,KATERING MAKANAN,0.0,0.0,11,1.0,8.0,14.0
14,1,10,9,3,0,63,5,1.0,1.0,08,BENGKEL LAS,0.0,0.0,11,1.0,5.0,8.0
14,1,10,9,3,0,77,1,1.0,1.0,08,PERABOTAN,1.0,1.0,11,1.0,11.0,8.0
14,1,10,9,2,0,15,1,1.0,1.0,03,KEBUN SAWIT,0.0,0.0,11,1.0,1.0,3.0
14,1,10,9,3,0,90,1,1.0,1.0,12,JUAL BELI SAWIT,0.0,0.0,11,3.0,11.0,12.0
14,1,10,10,2,0,12,1,1.0,1.0,24,PERMAK/ JAHIT BAJU,0.0,1.0,11,1.0,1.0,24.0
14,1,10,10,2,0,22,1,1.0,1.0,06,MOTONG KAYU,1.0,1.0,11,2.0,11.0,6.0
14,1,10,9,3,0,51,2,1.0,1.0,12,JUALAN PAKAIAN,0.0,0.0,11,1.0,4.0,12.0
14,1,10,10,2,0,28,3,1.0,1.0,12,JUAL AYAM POTONG,1.0,1.0,11,2.0,4.0,12.0
14,1,10,10,2,0,159,2,1.0,1.0,14,PEDAGANG GORENGAN,0.0,1.0,11,2.0,1.0,14.0
14,1,10,10,2,0,59,1,1.0,1.0,22,BUKA PRAKTEK BIDAN,0.0,1.0,01,2.0,7.0,22.0
14,1,10,10,2,0,31,1,1.0,1.0,12,KONTER HP,1.0,2.0,11,2.0,4.0,12.0
14,1,10,10,2,0,41,1,1.0,1.0,03,PERKEBUNAN KARET,0.0,1.0,11,1.0,1.0,3.0
14,1,10,10,1,0,1,3,1.0,2.0,03,KEBUN SAWIT,3.0,1.0,11,3.0,32.0,3.0
14,1,10,10,1,0,20,5,1.0,1.0,14,WARUNG NASI,1.0,1.0,11,2.0,32.0,14.0
14,1,10,10,1,0,26,2,1.0,1.0,12,JUALAN BARANG HARIAN,0.0,1.0,11,1.0,32.0,12.0
14,1,10,10,1,0,35,2,1.0,1.0,14,JUALAN LONTONG,0.0,2.0,11,1.0,32.0,14.0
14,1,10,10,1,0,51,4,1.0,1.0,13,TAMBANG PASIR,1.0,1.0,11,1.0,32.0,13.0
14,1,10,10,1,0,58,3,1.0,1.0,14,JUALAN ES TEBU,0.0,2.0,11,1.0,32.0,14.0
14,1,10,10,1,0,34,2,1.0,1.0,24,WARUNG STUDIO FOTO,1.0,2.0,11,2.0,31.0,24.0
14,1,10,10,1,0,61,3,1.0,1.0,12,JUALAN BUAH BUAHAN,0.0,1.0,11,2.0,32.0,12.0
14,1,10,10,1,0,46,4,1.0,1.0,14,KANTIN SEKOLAH,0.0,1.0,11,2.0,32.0,14.0
14,1,10,10,1,0,52,2,1.0,1.0,18,PANGKAS RAMBUT,0.0,1.0,11,1.0,32.0,18.0
14,1,10,10,1,0,53,2,1.0,1.0,12,DAGANG BUNGA HIAS,0.0,1.0,11,2.0,32.0,12.0
14,1,10,10,1,0,57,1,1.0,2.0,24,"SERVICE RAKET, KEBUN SAWIT",0.0,1.0,11,1.0,1.0,24.0
14,1,10,10,1,0,59,4,1.0,1.0,12,WARUNG HARIAN GROSIRAN,3.0,2.0,02,5.0,32.0,12.0
14,1,10,10,1,0,55,4,1.0,1.0,12,JUALAN BAJU,1.0,1.0,11,1.0,32.0,12.0
14,1,10,10,1,0,56,1,1.0,1.0,11,TUKANG BANGUNAN,2.0,1.0,11,1.0,32.0,11.0
14,1,10,10,2,0,163,1,1.0,1.0,12,KONTER PULSA DAN SERVIS HP,1.0,1.0,11,2.0,3.0,12.0
14,1,10,10,2,0,94,3,1.0,1.0,14,RENTAL PS,0.0,1.0,11,1.0,1.0,14.0
14,1,10,10,2,0,102,2,1.0,1.0,14,WARUNG KOPI,0.0,1.0,11,1.0,3.0,14.0
14,1,10,10,2,0,101,3,1.0,1.0,10,DEPOT AIR MINUM ISIS,3.0,0.0,01,2.0,7.0,10.0
14,1,10,10,2,0,71,1,1.0,1.0,03,MENDERES KARET,0.0,1.0,11,1.0,32.0,3.0
14,1,10,10,1,0,68,1,1.0,1.0,08,PERABOT KUNSEN PINTU,4.0,1.0,01,3.0,1.0,8.0
14,1,10,10,2,0,160,1,1.0,1.0,03,PERKEBUNAN SAWIT,1.0,1.0,11,2.0,1.0,3.0
14,1,10,10,2,0,158,1,1.0,1.0,03,PERKEBUNAN SAWIT,1.0,1.0,11,2.0,1.0,3.0
14,1,10,10,2,0,85,1,1.0,1.0,03,PERKEBUNAN SAWIT,0.0,1.0,11,2.0,3.0,3.0
14,1,10,10,3,0,15,3,1.0,1.0,08,BENGKEL LAS MILIK SENDIRI,5.0,1.0,01,4.0,4.0,8.0
14,1,10,10,3,0,23,1,1.0,1.0,03,KEBUN SAWIT,0.0,1.0,11,2.0,11.0,3.0
14,1,10,10,1,0,16,1,1.0,1.0,22,TERAPI TULANG SARAF TERJEPIT,1.0,0.0,11,1.0,32.0,22.0
14,1,10,10,1,0,70,3,1.0,1.0,12,WARUNG BARANG HARIAN,0.0,1.0,11,2.0,32.0,12.0
14,1,10,10,1,0,89,3,1.0,1.0,12,JUALAN SAYUR,0.0,1.0,11,2.0,1.0,12.0
14,1,10,10,2,0,105,2,1.0,1.0,24,LAUNDRY,0.0,2.0,11,1.0,1.0,24.0
14,1,10,11,1,0,68,1,1.0,1.0,12,JUAL BELI EMAS,2.0,0.0,11,2.0,1.0,12.0
14,1,10,11,1,0,83,1,1.0,1.0,08,PRABOT,2.0,0.0,11,1.0,1.0,8.0
14,1,10,11,1,0,91,1,1.0,1.0,12,TOKO PERHIASAN,2.0,0.0,02,4.0,14.0,12.0
14,1,10,11,1,0,96,2,1.0,1.0,12,JUALAN BAJU,0.0,0.0,11,1.0,13.0,12.0
14,1,10,10,2,0,134,1,1.0,1.0,14,PEDAGANG SATE,1.0,0.0,11,2.0,3.0,14.0
14,1,10,10,2,0,136,1,1.0,1.0,19,USAHA WARNET DAN FOTOKOPI,1.0,1.0,11,2.0,7.0,19.0
